Product Name,Selling Price,Actual Price,User Rating,User Ratings & Reviews,Specifications
Product Name Not Found,Price Not Available,Actual Price Not Available,Rating Not Available,Ratings & Reviews Not Available,Specifications Not Available
Product Name Not Found,Price Not Available,Actual Price Not Available,Rating Not Available,Ratings & Reviews Not Available,Specifications Not Available
"REDMI 13C (Starshine Green, 128 GB)","₹7,699","₹11,999",4.3,"12,368 Ratings & 739 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹7,999","₹11,999",4.2,"7,023 Ratings & 657 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP + 2MP | 16MP Front Camera6000 mAh BatteryHelio G85 Processor1 Year on Handset and 6 Months on Accessories
"realme P1 5G (Phoenix Red, 128 GB)","₹16,999","₹21,999",4.4,"1,402 Ratings & 104 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Tecno POVA 5 Pro 5G (Dark Illusion, 256 GB)","₹15,999","₹20,999",4.2,786 Ratings & 57 Reviews,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.22 cm (6.78 inch) Full HD+ Display50MP + 0MP | 16MP Front Camera5000 mAh BatteryMediaTek Dimensity 6080 ProcessorDomestic Warranty of 12 Months on Phone & 6 Months on Accessories
"Motorola Edge 50 Pro 5G with 68W Charger (Black Beauty, 256 GB)","₹30,999","₹36,999",4.4,"6,135 Ratings & 751 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 13MP + 10MP | 50MP Front Camera4500 mAh Battery7 Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹16,897","₹19,999",4.4,"65,769 Ratings & 4,341 Reviews",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
"REDMI Note 13 5G (Arctic White, 128 GB)","₹16,999","₹20,999",4.2,"3,799 Ratings & 313 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display108MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 6080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI Note 13 Pro 5G (Coral Purple, 128 GB)","₹23,999","₹28,999",4.3,"11,396 Ratings & 1,229 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Apple iPhone 14 Plus (Starlight, 128 GB)","₹59,999","₹79,900",4.6,"65,257 Ratings & 3,850 Reviews","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"
"POCO C65 (Pastel Blue, 128 GB)","₹6,799","₹10,999",4.2,"14,268 Ratings & 1,001 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999","₹16,999",4.2,"11,628 Ratings & 1,194 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera6000 mAh Lithium ion BatteryMediaTek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"POCO C65 (Pastel Green, 256 GB)","₹7,999","₹13,499",4.2,"3,221 Ratings & 237 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹16,999","₹20,999",4.2,"3,799 Ratings & 313 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display108MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 6080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI Note 13 Pro+ 5G (Fusion White, 256 GB)","₹30,999","₹33,999",4.2,"5,781 Ratings & 744 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Ultra 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Motorola g64 5G (Pearl Blue, 128 GB)","₹13,999","₹17,999",4.2,"1,951 Ratings & 116 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories
"POCO C65 (Pastel Green, 128 GB)","₹6,799","₹10,999",4.2,"14,268 Ratings & 1,001 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"REDMI Note 13 Pro 5G (Arctic White, 128 GB)","₹24,999","₹28,999",4.3,"11,396 Ratings & 1,229 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI Note 13 Pro+ 5G (Fusion Purple, 256 GB)","₹30,999","₹33,999",4.2,"5,781 Ratings & 744 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Ultra 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO C65 (Matte Black, 128 GB)","₹6,799","₹10,999",4.2,"14,268 Ratings & 1,001 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"MOTOROLA G04 (Sea Green, 128 GB)","₹7,999","₹10,999",4.1,"3,545 Ratings & 363 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display16MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999","₹9,999",4.2,"7,982 Ratings & 646 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display16MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories
"Motorola g64 5G (Mint Green, 256 GB)","₹15,999","₹19,999",4.1,"1,238 Ratings & 81 Reviews",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories
"REDMI Note 13 Pro 5G (Midnight Black, 128 GB)","₹24,999","₹28,999",4.3,"11,396 Ratings & 1,229 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI Note 13 Pro+ 5G (Fusion Black, 256 GB)","₹30,999","₹33,999",4.2,"5,781 Ratings & 744 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Ultra 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Product Name Not Found,Price Not Available,Actual Price Not Available,Rating Not Available,Ratings & Reviews Not Available,Specifications Not Available
Product Name Not Found,Price Not Available,Actual Price Not Available,Rating Not Available,Ratings & Reviews Not Available,Specifications Not Available
Product Name Not Found,Price Not Available,Actual Price Not Available,4.6,Ratings & Reviews Not Available,Specifications Not Available
Product Name Not Found,Price Not Available,Actual Price Not Available,Rating Not Available,Ratings & Reviews Not Available,Specifications Not Available
